id_sale,amount,effectued_at,from_number,from_name,description,platform,id_order_m,price,quantity,product_name,variant_name,sku_product,sku_variant
27,705.21,2025-10-04 23:50,261497911156,"John Doe","Online order",facebook,,53.97,3,"Product E","Variant 1",PT,PDT2
27,705.21,2025-10-04 23:50,261497911156,"John Doe","Online order",facebook,,155.76,1,"Product A","Variant 4",PT,PDT3
28,647.72,2025-09-14 16:50,261992924599,"Jane Smith","Direct sale",website,,112.22,4,"Product H","Premium",PWD,SMCH-BLACK
28,647.72,2025-09-14 16:50,261992924599,"Jane Smith","Direct sale",website,,99.42,2,"Product C","Standard",PT,PDT2
29,202.32,2025-11-03 00:58,261964801250,"Bob Johnson","Customer purchase",instagram,,28.24,3,"Product D","Variant 3",PT,PDT3
29,202.32,2025-11-03 00:58,261964801250,"Bob Johnson","Customer purchase",instagram,,23.52,5,"Product D","Variant 4",PWD,SMCH-BLACK
30,351.06,2025-11-05 09:04,261969263526,"Charlie Brown","Online order",facebook,,127.12,2,"Product D","Standard",PT,PDT3
30,351.06,2025-11-05 09:04,261969263526,"Charlie Brown","Online order",facebook,,10.74,3,"Product H","Basic",PT,PDT4
30,351.06,2025-11-05 09:04,261969263526,"Charlie Brown","Online order",facebook,,64.60,1,"Product F","Variant 3",PT,PDT1
31,257.00,2025-09-20 10:00,261291092654,"John Doe","Online order",facebook,,51.40,5,"Product C","Premium",PWD,SMCH-BLACK
32,435.17,2025-10-02 19:29,261013238885,"John Doe","Customer purchase",whatsapp,,42.97,5,"Product G","Variant 1",PT,PDT5
32,435.17,2025-10-02 19:29,261013238885,"John Doe","Customer purchase",whatsapp,,110.16,2,"Product F","Variant 4",PWD,SMCH-BLACK
33,301.35,2025-11-02 01:19,261732766795,"Bob Johnson","Online order",instagram,,60.27,5,"Product A","Variant 3",PT,PDT4
34,266.24,2025-10-06 05:56,261180287439,"Alice Williams","Direct sale",tiktok,,141.40,1,"Product D","Standard",PWD,SMCH-BLACK
34,266.24,2025-10-06 05:56,261180287439,"Alice Williams","Direct sale",tiktok,,62.42,2,"Product F","Variant 4",PWD,SMCH-BLACK
35,39.44,2025-09-15 19:19,261302873298,"John Doe","Customer purchase",whatsapp,,19.72,2,"Product F","Deluxe",PWD,SMCH-BLACK
36,1368.19,2025-11-09 01:58,261247922438,"Charlie Brown","Direct sale",instagram,,94.82,5,"Product B","Variant 1",PWD,SMCH-BLACK
36,1368.19,2025-11-09 01:58,261247922438,"Charlie Brown","Direct sale",instagram,,118.92,2,"Product F","Variant 2",PT,PDT1
36,1368.19,2025-11-09 01:58,261247922438,"Charlie Brown","Direct sale",instagram,,131.25,5,"Product H","Premium",PWD,SMCH-BLACK
37,315.42,2025-09-09 21:27,261518555437,"John Doe","Sale of products",instagram,,91.82,2,"Product D","Standard",PT,PDT1
37,315.42,2025-09-09 21:27,261518555437,"John Doe","Sale of products",instagram,,131.78,1,"Product F","Variant 3",PT,PDT4
38,311.42,2025-10-28 01:35,261713818596,"Charlie Brown","Direct sale",facebook,,155.71,2,"Product F","Variant 1",PT,PDT2
39,1032.07,2025-09-25 19:47,261198898179,"Jane Smith","Customer purchase",website,,35.87,3,"Product C","Variant 4",PWD,SMCH-BLACK
39,1032.07,2025-09-25 19:47,261198898179,"Jane Smith","Customer purchase",website,,144.02,3,"Product H","Basic",PT,PDT4
39,1032.07,2025-09-25 19:47,261198898179,"Jane Smith","Customer purchase",website,,98.48,5,"Product A","Variant 1",PT,PDT4
40,553.18,2025-08-24 06:48,261753682987,"Charlie Brown","Sale of products",website,,156.70,2,"Product F","Premium",PT,PDT3
40,553.18,2025-08-24 06:48,261753682987,"Charlie Brown","Sale of products",website,,119.89,2,"Product F","Deluxe",PWD,SMCH-BLACK
